L,W,N,E,N_eff,ens_min_val,ens_nadir_epoch,single_min_val,single_nadir_epoch,E1_law_at_Neff,gap_below_law
6,384,14155776,2,28311552,3.9621,30.68,4.0676,20.80,4.0107,0.0485
6,384,14155776,3,42467328,3.8942,30.88,4.0676,20.80,3.9838,0.0896
6,384,14155776,4,56623104,3.8602,30.88,4.0676,20.80,3.9648,0.1046
6,384,14155776,5,70778880,3.8421,30.88,4.0676,20.80,3.9501,0.1080
12,384,28311552,2,56623104,3.8360,26.89,4.0189,16.80,3.9648,0.1288
12,384,28311552,3,84934656,3.7784,26.89,4.0189,16.80,3.9382,0.1598
12,384,28311552,4,113246208,3.7519,26.89,4.0189,16.80,3.9195,0.1676
12,384,28311552,5,141557760,3.7336,26.89,4.0189,16.80,3.9050,0.1713
6,768,56623104,2,113246208,3.8301,17.93,3.9682,12.80,3.9195,0.0893
6,768,56623104,3,169869312,3.7624,17.93,3.9682,12.80,3.8932,0.1308
6,768,56623104,4,226492416,3.7308,17.93,3.9682,12.80,3.8746,0.1439
6,768,56623104,5,283115520,3.7100,17.93,3.9682,12.80,3.8603,0.1504
12,768,113246208,2,226492416,3.7504,11.95,3.9095,8.80,3.8746,0.1242
12,768,113246208,3,339738624,3.6945,11.95,3.9095,8.80,3.8487,0.1542
12,768,113246208,4,452984832,3.6649,13.94,3.9095,8.80,3.8303,0.1654
12,768,113246208,5,566231040,3.6436,13.94,3.9095,8.80,3.8162,0.1726
6,1536,226492416,2,452984832,3.7538,9.96,3.9215,8.80,3.8303,0.0765
6,1536,226492416,3,679477248,3.7060,10.76,3.9215,8.80,3.8046,0.0986
6,1536,226492416,4,905969664,3.6716,10.76,3.9215,8.80,3.7865,0.1150
